relationship_id,subject_evidence_id,related_evidence_id,relationship,topic,claim_or_state,reason,resolution_status,source_archives
REL-FRA-00001,EVID-FRA-000218,,contradicted by,Hybrid LMP1 Gen1 2012 Toyota TS030 geometry,Toyota's official 2012 TS030 HYBRID specification uses Michelin 36/71-18 front and 37/71-18 rear on 14.5x18 wheels front and rear.,CONTRADICTS over-broad square-hybrid chronology; creates 2012–13 wide/staggered Gen1.,contradicted,ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip
REL-FRA-00002,EVID-FRA-000238,,rejected because,Maserati 250F product naming,Pirelli identifies Stelvio as the Fangio-era Maserati 250F tire family.,Strengthens Stelvio; rejects blanket Stella Bianca default.,strengthened,ACLM_RESEARCH_DAY_20260904(1)(1).zip
REL-FRA-00003,EVID-FRA-000255,,narrowed by,Michelin legacy 90s WSC/LMP continuation geometry,"Michelin's 2011 competition catalog lists legacy LMP1/WSC cars including Ferrari 333 SP, Riley & Scott Mk III and Lola B98/B2K with 33/65-18 front and 37/71-18 rear; catalog gives measured dimensions on 13.5x18 and 14.5x18 rims.",Adds geometry sanity/continuation reference with strict period quarantine.,active,ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip
REL-FRA-00004,EVID-FRA-000476,,rejected because,917-023 conflicting failure claim,"One secondary history attributes Monza retirement to engine over-rev, contradicted by the stronger puncture record.",Conflicts with stronger sources.,rejected,ACLM_RESEARCH_DAY_20260904(1).zip; ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(2).zip; ACLM_RESEARCH_DAY_20260904(3).zip; ACLM_RESEARCH_DAY_20260904(4).zip; ACLM_RESEARCH_DAY_20260904(5).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip
REL-FRA-00005,EVID-FRA-000477,,rejected because,917-023 Monza engine-overrev claim,"One secondary chassis history attributes 917-023 Monza retirement to engine over-rev, conflicting with multiple stronger histories stating puncture damage.",Contradiction isolated and downgraded.,rejected,ACLM_RESEARCH_DAY_20260904.zip
REL-FRA-00006,EVID-FRA-000479,,contradicted by,917-023 Monza puncture DNF,917-023 retired at Monza 1970 from puncture-related damage; multiple independent sources support puncture over engine-overrev.,Puncture explanation strengthened; engine-overrev claim contradicted.,strengthened,ACLM_RESEARCH_DAY_20260904.zip
REL-FRA-00007,EVID-FRA-000493,,contradicted by,Audi R10 2006 rear-tire durability regression,"Contemporary 2006 Le Mans broadcast said R8 had been easy to triple-stint and occasionally quadruple-stint at night, but the new ~1100 Nm R10 was hammering its rear tires enough that teams questioned going beyond double tire stints.",Contradicts monotonic/simple continuity assumption; R10 imposed rear-tire duty penalty.,strengthened,ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip
REL-FRA-00008,EVID-FRA-001004,,narrowed by,Courage C41/C52 supplier transition,1998 Courage C41 is archived on Michelin with 37/65x18 F / 36/71x18 R at 891 kg; 1999 Courage C52 entries are archived on Bridgestone. The anomalous C41 front size requires independent confirmation.,Adds supplier-lineage transition but quarantines suspect front-size number.,active,ACLM_RESEARCH_DAY_20260904(7).zip
REL-FRA-00009,EVID-FRA-001035,,contradicted by,Ferrari 333 SP base wheel architecture,"Ferraris Online transcribes base 333 SP technical data as 16x12 front and 16x16 rear wheels and states 18-inch FIA wheels were offered in 1997; another specialist source gives 12x16 front and 14.5x16 rear, so exact original rear width remains unresolved.",Strengthens base 16-inch architecture but opens explicit rear-width contradiction.,contradicted,ACLM_RESEARCH_DAY_20260904(7).zip
REL-FRA-00010,EVID-FRA-001037,,narrowed by,Ferrari 333 SP Le Mans 1996 Pirelli geometry,Le Mans 1996 Ferrari 333 SP LM #18 is listed on Pirelli with 10x17 front / 12x17 rear and 877 kg.,Adds 1996 Pirelli 17-inch branch with narrower wheel widths.,active,ACLM_RESEARCH_DAY_20260904(7).zip
REL-FRA-00011,EVID-FRA-001087,,narrowed by,Maserati 250F size menu,"Maserati-attributed technical data list front 5.50x16, 6.50x16, 5.50x17 and rear 7.00x16, 7.00x17 options with corresponding 16/17-inch rims.",Narrows candidate combinations.,strengthened,ACLM_RESEARCH_DAY_20260904(1)(1).zip
REL-FRA-00012,EVID-FRA-001142,,rejected because,Porsche 917K,1970 Le Mans Salzburg tire changes were driven by changing weather rather than normal wear.,Reject tire-change frequency as dry-wear proxy.,active,ACLM_INTELLIGENCE_PRESERVATION_20260903.zip; ACLM_RESEARCH_CAPTURE_20260902_0000.zip
REL-FRA-00013,EVID-FRA-001144,,narrowed by,Porsche 917K — 917-023 wet architecture,"Technical history of 917-023 states Goodyear G2 tires on 10.5x15 front and 15x15 rear rims in dry Le Mans 1970 conditions; rain configuration used 9x15 and 15x15 rims, context implying narrower front rim with rear retained.",Adds evidence that wet setup narrowed at least front rim geometry.,active,ACLM_RESEARCH_DAY_20260903(10).zip
REL-FRA-00014,EVID-FRA-001469,,narrowed by,Dunlop early Porsche SP pressure gap,"A general Porsche 356 23F/26R psi recommendation was found, but no source proves it is a period Dunlop-SP-specific factory pressure; it remains quarantined.",No promotion; candidate explicitly quarantined.,active,ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(5).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip
REL-FRA-00015,EVID-FRA-002414,,narrowed by,Thermal aging of cord,"NBS Monograph 122 indexes a dedicated section 'Strength loss, nylon cord' at p.230, but the quantitative content has not yet been extracted.",Narrows exact primary extraction target.,active,ACLM_1980s_1990s_RACING_RADIAL_PRIORS_20260903.zip; ACLM_CHAT_RESEARCH_PRESERVATION_20260903.zip; ACLM_COTTON_TO_RAYON_TRANSITION_20260903.zip; ACLM_EUROPEAN_DUNLOP_CLEMSON_GENERAL_CONTINUED_20260904.zip; ACLM_EUROPEAN_PRIMARY_DUNLOP_MATERIAL_ORACLE_EXECUTION_20260904.zip; ACLM_EUROPEAN_UNIVERSITY_NUMERIC_TRANSIENT_WET_RECOVERY_20260904.zip; ACLM_EUROPEAN_UNIVERSITY_PRIMARY_SOURCE_RECOVERY_20260904.zip; ACLM_EUROPEAN_UNIVERSITY_TIRE_DATA_DEEP_RECOVERY_20260904.zip; ACLM_NEW_CHAT_HANDOFF_EUROPEAN_RESEARCH_20260904.zip; ACLM_NEW_CHAT_HANDOFF_P0_DEEP_EXTRACTION_CONTINUED_20260904.zip; ACLM_NEW_CHAT_HANDOFF_P0_GENGENBACH_WEBER_WETDRAG_CONTINUED_20260904.zip; ACLM_NEW_CHAT_HANDOFF_P0_MZ_AQUAPLANING_ACCESS_CONTINUED_20260904.zip; ACLM_NEW_CHAT_HANDOFF_P0_PRIMARY_EXTRACTION_20260904(1).zip; ACLM_NEW_CHAT_HANDOFF_P0_PRIMARY_EXTRACTION_20260904.zip; ACLM_NTMP_CLEMSON_GENERAL_DOCUMENT_ARCHAEOLOGY_20260904(1).zip; ACLM_NTMP_CLEMSON_GENERAL_DOCUMENT_ARCHAEOLOGY_20260904.zip; ACLM_NTMP_CLEMSON_WIDE_ARCHIVE_DATA_RECOVERY_20260904.zip; ACLM_NTMP_CONTINENTAL_GOODYEAR_INTERNAL_REPORT_ARCHAEOLOGY_20260904.zip; ACLM_NTMP_GRANT_D460G_P195_RECOVERY_20260904(1).zip; ACLM_NTMP_GRANT_D460G_P195_RECOVERY_20260904.zip; ACLM_NTMP_MANUFACTURER_ARCHIVE_DEEP_RECOVERY_20260904.zip; ACLM_NTMP_TIRE_SOCIETY_UAKRON_ARCHIVE_RECOVERY_20260904.zip; ACLM_NTMP_WARHOLIC_MEETING_RECOVERY_20260904(1).zip; ACLM_NTMP_WARHOLIC_MEETING_RECOVERY_20260904.zip; ACLM_PRE1950_DIGITIZE_EXTRACT_RECOVER_20260903.zip; ACLM_PRE1950_NBS_MINING_20260903.zip; ACLM_RADIAL_ERA_NBS_MINING_1975_1995.zip; ACLM_RESEARCH_CONFIDENCE_PUSH_20260903.zip; ACLM_RESEARCH_DAY_20260903(10).zip; ACLM_RESEARCH_DAY_20260903(6).zip; ACLM_RESEARCH_DAY_20260903(8).zip; ACLM_RESEARCH_DAY_20260903(9).zip; ACLM_RESEARCH_TONIGHT_CONSOLIDATED_20260903.zip; ACLM_TIRE_ORACLE_SIX_CAMPAIGNS_20260904.zip
REL-FRA-00016,,EVID-FRA-000236,strengthened by,Maserati 250F product naming,Maserati 250F product naming,Supplier-origin Stelvio evidence rejects a blanket Stella Bianca default while preserving event sub-spec uncertainty.,resolved at family level; event sub-spec open,
REL-FRA-00017,,EVID-FRA-000476,contradicted by,Porsche 917-023 Monza retirement,Porsche 917-023 Monza retirement,The secondary engine-over-rev account is rejected in favor of the stronger multi-source puncture-related damage record.,rejected competing cause retained,
REL-FRA-00018,,EVID-FRA-001153,narrowed by,Porsche 917 supplier identity,Porsche 917 supplier identity,"Firestone and Goodyear evidence applies by team, chassis and event; no universal 917 supplier assignment is valid.","event-resolved, globally unresolved",
REL-FRA-00019,,EVID-FRA-000453,narrowed by,Dunlop R6/R7 chronology,Dunlop R6/R7 chronology,Period evidence shows track- and axle-specific coexistence rather than a simple one-way generation replacement.,coexisting sub-families retained,
REL-FRA-00020,,EVID-FRA-001198,superseded by,Ferrari 333 SP geometry,Ferrari 333 SP geometry,"The one-family geometry assumption is replaced by a 16-inch base, 17-inch mid-decade and 18-inch late-decade chronology.",multi-generation chronology retained,
REL-FRA-00021,,EVID-FRA-001004,rejected because,Courage C41 front size,Courage C41 front size,The archived 37/65x18 front string is anomalous and quarantined until independently confirmed.,numeric string quarantined,
