family_id,family_name,geometry,construction,supplier_product_identity,pressure,vertical_stiffness,lateral_stiffness,longitudinal_stiffness,load_sensitivity,camber_behavior,aligning_torque_trail,relaxation_transient,thermal_architecture,thermal_numeric_calibration,wet_intermediate,wear,degradation,compound_menu,high_speed_growth,failure_behavior,stint_durability,force_moment_data,overall_confidence_score,strongest_evidence_dimensions,weakest_evidence_dimensions,p0_p1_gaps,historical_defensibility_status,supporting_evidence_records,pre_calspan_score,calspan_applicability,architecture_readiness,calspan_digitized_curve_points,numeric_calibration_change,evidence_architecture_uplift,post_calspan_score,pre_calspan_rank,promotion_status,score_interpretation,post_calspan_rank,rank_change
FAM064,2026+ WEC Hypercar Michelin Pilot Sport Endurance,10.0,9.0,10.0,7.3,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7.8,5.5,7.5,6.6,6.6,9.6,5.7,5.9,9.1,5.8,6.9,geometry; supplier_product_identity; compound_menu; stint_durability,aligning_torque_trail; camber_behavior; lateral_stiffness; load_sensitivity,aligning_torque_trail; camber_behavior; lateral_stiffness; load_sensitivity,defensible with bounded inference,13,6.9,MECHANISM_ONLY,100.0,0,0.0,0.2,7.1,1,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",1,0
FAM065,2023+ IMSA GTP / LMDh Michelin control,10.0,8.7,10.0,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,7.8,5.7,7.7,6.7,6.7,9.8,5.7,5.7,8.8,5.8,6.9,geometry; supplier_product_identity; compound_menu; stint_durability,aligning_torque_trail; camber_behavior; failure_behavior; high_speed_growth,aligning_torque_trail; camber_behavior; failure_behavior; high_speed_growth,defensible with bounded inference,6,6.9,MECHANISM_ONLY,100.0,0,0.0,0.2,7.1,2,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",2,0
FAM010,Early-90s BPR / Le Mans GT radial,10.0,10.0,10.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.5,5.5,9.6,7.0,5.5,8.0,5.5,5.5,5.5,5.5,6.6,construction; geometry; supplier_product_identity; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,defensible with bounded inference,8,6.6,MECHANISM_ONLY,100.0,0,0.0,0.2,6.8,3,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",3,0
FAM035,1968-70 world sportscar tread-to-slick transition,10.0,10.0,10.0,5.9,4.3,4.9,4.3,4.3,5.1,5.4,4.3,5.6,4.3,10.0,6.6,4.3,10.0,8.3,8.3,6.6,5.4,6.6,compound_menu; construction; geometry; supplier_product_identity,degradation; load_sensitivity; longitudinal_stiffness; relaxation_transient,degradation; load_sensitivity; longitudinal_stiffness; relaxation_transient,defensible with bounded inference,52,6.6,MECHANISM_ONLY,100.0,0,0.0,0.2,6.8,4,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",4,0
FAM063,2021-25 WEC Hypercar Michelin control,10.0,8.5,10.0,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,7.5,5.4,7.4,6.5,6.5,9.5,5.4,5.4,8.5,5.8,6.6,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; camber_behavior; failure_behavior; high_speed_growth,aligning_torque_trail; camber_behavior; failure_behavior; high_speed_growth,defensible with bounded inference,6,6.6,MECHANISM_ONLY,100.0,0,0.0,0.2,6.8,5,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",5,0
FAM066,2021+ LMP2 Goodyear control,10.0,10.0,10.0,8.2,5.1,5.1,5.1,5.1,8.2,5.1,5.1,5.1,5.1,7.1,6.7,5.1,7.3,5.1,5.1,8.2,5.1,6.5,construction; geometry; supplier_product_identity; camber_behavior,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,defensible with bounded inference,6,6.5,MECHANISM_ONLY,100.0,0,0.0,0.2,6.7,6,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",6,0
FAM069,2022+ IMSA GTD / GTD Pro Michelin control,10.0,9.1,10.0,6.5,5.0,5.0,5.0,5.0,6.5,5.0,5.0,5.0,5.0,9.6,6.5,5.0,10.0,5.0,5.0,8.1,5.0,6.5,compound_menu; geometry; supplier_product_identity; wet_intermediate,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,defensible with bounded inference,8,6.5,MECHANISM_ONLY,100.0,0,0.0,0.2,6.7,7,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",7,0
FAM054,Formula E Michelin 18-inch all-weather generation,8.2,9.3,10.0,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.3,5.2,9.3,5.2,5.2,10.0,5.2,5.2,8.3,5.2,6.4,compound_menu; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,5,6.4,MECHANISM_ONLY,100.0,0,0.0,0.2,6.6,8,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",8,0
FAM056,Modern INDYCAR Firestone road/street primary-alt-wet,10.0,10.0,10.0,5.4,5.4,5.4,5.4,5.4,5.4,7.0,5.4,7.0,5.4,7.4,5.4,5.4,7.4,5.4,5.4,5.4,5.8,6.4,construction; geometry; supplier_product_identity; compound_menu,camber_behavior; degradation; failure_behavior; high_speed_growth,camber_behavior; degradation; failure_behavior; high_speed_growth,architecture-correct but numerically weak,3,6.4,MECHANISM_ONLY,100.0,0,0.0,0.2,6.6,9,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",9,0
FAM080,1990s IMSA WSC prototype radial,10.0,10.0,10.0,8.1,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,7.3,5.3,5.3,8.9,5.3,5.3,5.3,5.3,6.4,construction; geometry; supplier_product_identity; compound_menu,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Direct WSC sizes, setup sheets and stint telemetry",architecture-correct but numerically weak,17,6.4,MECHANISM_ONLY,100.0,0,0.0,0.2,6.6,10,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",10,0
