content_id,source_group,source_id,title,year,publisher,url,source_type,quality,priority,domains,content_kind,status,known_summary,known_limitations,research_question,extraction_requirements,do_not_infer,identifier
CUR-SRC001-Q1,current_knowledge_deep_mine,SRC001,Mechanics of Pneumatic Tires,1971,"Samuel K. Clark (ed.), NBS/NHTSA",https://www.govinfo.gov/content/pkg/GOVPUB-C13-a7834d3283458a60b7655045e305bd2d/pdf/GOVPUB-C13-a7834d3283458a60b7655045e305bd2d.pdf,Government monograph,A,P1,geometry;forces;wet;construction;motorsport,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Bias/belted-bias structure, footprint, deformation, traction, rolling resistance, hydroplaning; foundational pre-radial-era mechanics",Foundational physics; do not use absolute road-tire grip as race-slick grip,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, forces, wet, construction, motorsport that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC001-Q2,current_knowledge_deep_mine,SRC001,Mechanics of Pneumatic Tires,1971,"Samuel K. Clark (ed.), NBS/NHTSA",https://www.govinfo.gov/content/pkg/GOVPUB-C13-a7834d3283458a60b7655045e305bd2d/pdf/GOVPUB-C13-a7834d3283458a60b7655045e305bd2d.pdf,Government monograph,A,P1,geometry;forces;wet;construction;motorsport,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Bias/belted-bias structure, footprint, deformation, traction, rolling resistance, hydroplaning; foundational pre-radial-era mechanics",Foundational physics; do not use absolute road-tire grip as race-slick grip,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, forces, wet, construction, motorsport. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC002-Q1,current_knowledge_deep_mine,SRC002,The Pneumatic Tire,2005,"Gent & Walter (eds.), NHTSA",https://www.nhtsa.gov/staticfiles/safercar/pdf/PneumaticTire_HS-810-561.pdf,Government textbook,A,P1,wear;forces;construction,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Modern radial construction, materials, mechanics, traction, wear; successor to Clark",Use for universal mechanisms and radial construction,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to wear, forces, construction that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC002-Q2,current_knowledge_deep_mine,SRC002,The Pneumatic Tire,2005,"Gent & Walter (eds.), NHTSA",https://www.nhtsa.gov/staticfiles/safercar/pdf/PneumaticTire_HS-810-561.pdf,Government textbook,A,P1,wear;forces;construction,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Modern radial construction, materials, mechanics, traction, wear; successor to Clark",Use for universal mechanisms and radial construction,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for wear, forces, construction. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC003-Q1,current_knowledge_deep_mine,SRC003,Tire Behavior in Steering,1939,A. W. Bull,https://saemobilus.sae.org/papers/tire-behavior-steering-390164,SAE paper,A,P1,pressure;forces;construction,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Slip angle, cornering force, load, pressure, aligning torque, camber thrust, drive/brake torque",Historic anchor for pre-war/early bias behavior methodology,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to pressure, forces, construction that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC003-Q2,current_knowledge_deep_mine,SRC003,Tire Behavior in Steering,1939,A. W. Bull,https://saemobilus.sae.org/papers/tire-behavior-steering-390164,SAE paper,A,P1,pressure;forces;construction,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Slip angle, cornering force, load, pressure, aligning torque, camber thrust, drive/brake torque",Historic anchor for pre-war/early bias behavior methodology,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for pressure, forces, construction. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC004-Q1,current_knowledge_deep_mine,SRC004,Force and Moment Characteristics of Rolling Tires,1964,Nordeen & Cortese,https://saemobilus.sae.org/papers/force-moment-characteristics-rolling-tires-640028,SAE paper,A,P1,pressure;forces,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,"Steady-state F&M vs slip, camber, load, pressure and wheel torque",Strong old-era force/moment measurement anchor,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to pressure, forces that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC004-Q2,current_knowledge_deep_mine,SRC004,Force and Moment Characteristics of Rolling Tires,1964,Nordeen & Cortese,https://saemobilus.sae.org/papers/force-moment-characteristics-rolling-tires-640028,SAE paper,A,P1,pressure;forces,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,"Steady-state F&M vs slip, camber, load, pressure and wheel torque",Strong old-era force/moment measurement anchor,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for pressure, forces. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC005-Q1,current_knowledge_deep_mine,SRC005,Structural Mechanisms of Tires Leading to the Development of Steering Forces,1964,S. A. Lippmann,https://saemobilus.sae.org/papers/structural-mechanisms-tires-leading-development-steering-forces-640790,SAE paper,A,P1,forces;transient;construction,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Rigid-ring/sidewall structural mechanism for steering force development,Useful for transient/structural family reasoning,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to forces, transient, construction that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC005-Q2,current_knowledge_deep_mine,SRC005,Structural Mechanisms of Tires Leading to the Development of Steering Forces,1964,S. A. Lippmann,https://saemobilus.sae.org/papers/structural-mechanisms-tires-leading-development-steering-forces-640790,SAE paper,A,P1,forces;transient;construction,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Rigid-ring/sidewall structural mechanism for steering force development,Useful for transient/structural family reasoning,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for forces, transient, construction. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
CUR-SRC006-Q1,current_knowledge_deep_mine,SRC006,Generation of Camber Forces,1977,F. J. Winsor,https://saemobilus.sae.org/papers/generation-camber-forces-770332,SAE paper,A,P1,geometry;wear;forces;construction,quantitative_evidence_extraction,TO_REVIEW_FULL_TEXT,Explains larger camber stiffness of bias tires vs radials via rolling-radius variation across tread,Critical construction-family discriminator,"Deep-mine this source beyond its current Tire Lab summary. Extract every quantitative value, plotted range, table datum, test condition, equation, and uncertainty relevant to geometry, wear, forces, construction that is not already represented in the knowledge master.","Record page/figure/table/section; units; tire size/construction; load; pressure; speed; temperature; surface; slip/camber; test method; whether value is direct measurement, fit, or author interpretation. Create separate evidence records rather than one broad note.",Do not turn road/passenger/aircraft magnitudes into race-tire coefficients without an explicit applicability bridge. Do not duplicate existing measurements.,
CUR-SRC006-Q2,current_knowledge_deep_mine,SRC006,Generation of Camber Forces,1977,F. J. Winsor,https://saemobilus.sae.org/papers/generation-camber-forces-770332,SAE paper,A,P1,geometry;wear;forces;construction,relationship_constraint_extraction,TO_REVIEW_FULL_TEXT,Explains larger camber stiffness of bias tires vs radials via rolling-radius variation across tread,Critical construction-family discriminator,"Extract the strongest causal/scaling relationships, applicability limits, calibration methods, and historical constraints from this source for geometry, wear, forces, construction. Identify which Tire Lab generator formulas or priors the evidence can constrain without assigning unsupported constants.","Separate observations, scaling rules, historical constraints, fitment facts, and calibration methodology. Record scope (construction/era/use case) and directionality/nonlinearity/interactions.",Do not promote a general relationship into an exact supplier/class value unless the source actually measures that context.,
